類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介,肉類,乳卵類,野菜・海藻,生鮮野菜,果物,生鮮果物,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服類,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費
197001,31.9,32,32.6,32.8,31.3,31.7,29.7,32.3,34.8,26.6,29.1,40.2,53.8,25.9,27.2,36.9,36.1,46.1,29.3,22.5,51.4,43.2,24.2,25.3,24.1,26.9,28.8,20,34.6,67.7,27.9,18.7,,68.6,160.6,63,65.7,32.3,66.6,18.2,28.7,26.1,23.1,27.5,31.9,30.5,32.5,29,37.7,25.8,36.8,47.2,49.6,26.8,39.9,21.1,48.4,78.9,13.9,12,29.1,,38.4,1361.2,38.6,19.9,24.7,29.9,14.8,67.3,28.4,30.9,11.8,,,,
197002,32,32,32.8,32.8,31.4,32,30.6,32.4,34.8,26.1,28.2,40.2,53.6,27,29.3,38.4,37.6,46.2,29.5,23.3,51.4,43.2,24.2,25.4,24.2,27.1,29,20.2,34.6,67.7,28,18.9,,68.6,160.9,63.1,65.4,32.4,66.9,18.3,28.4,25.5,22.9,26.6,31.9,30.2,32.7,29,37.8,25.9,39.1,47.2,49.6,29.3,40.1,21.2,48.4,78.9,13.9,12,29.1,,38.6,1358.3,39.2,20,24.8,30,15,67.5,28.5,30.9,11.8,,,,
197003,32.3,32.1,33.1,32.9,31.5,32.4,32.6,32.3,34.8,26.6,28.9,39.9,52.4,28.3,31.8,41.7,41,46.2,29.7,24.4,51.5,43.2,24.4,25.6,24.4,27.3,29.2,20.3,34.8,67.7,28,18.9,,69.1,162.4,63.4,65.4,32.5,67,18.4,28.5,25.6,23,26.7,31.9,30.2,32.9,29.4,37.8,26,39.1,47.3,49.8,29.3,40.1,21.4,48.6,78.9,13.9,12,29.1,,38.6,1356.8,39.4,20,24.8,30.1,15.1,67.8,28.8,30.9,11.8,,,,
197004,32.6,32.4,33.3,33.2,31.8,32.7,33.4,32.5,34.9,26.2,28,40.2,50.9,29.6,34.2,42.4,41.7,46.5,29.9,26.6,51.6,43.2,24.7,25.8,24.6,27.5,29.4,20.7,34.9,67.7,28,19,,69.5,164.4,63.7,65.6,32.7,67,18.5,29,26.4,22.8,27.9,32,30.3,33.1,29.7,38.2,26.4,39.2,47.3,50.2,29.3,40.3,21.5,48.8,78.9,14.5,12.5,29.1,,39.2,1356.8,39.2,20,25.7,30.3,15.3,68.2,29.1,30.9,11.8,,,,
197005,32.5,32.5,33.2,33.3,32,32.2,30.9,32.5,35,25.6,26.9,40.3,48.4,28.2,31.9,37.8,36.9,46.8,30,27.5,51.9,43.2,24.9,26.1,24.8,27.7,29.7,20.8,34.8,67.7,27.8,19,,69.8,164.4,64.9,65.4,33,67.1,18.6,29.5,27.2,22.6,29.2,32.2,30.2,33.6,29.9,38.3,26.6,39.2,47.3,50.4,29.3,40.4,21.5,48.9,78.9,14.5,12.5,29.1,,39.2,1355.3,39.2,20,25.7,30.5,15.6,68.7,29.2,30.9,11.8,,,,
197006,32.5,32.6,33.1,33.4,32.1,31.9,30,32.5,35.1,25.3,26.6,40.3,47.9,24.5,25.7,44.1,43.3,47.4,30.1,27.3,52.2,43.3,25.1,26.3,25.1,28,29.9,21,34.8,67.7,27.8,19,,69.8,164.1,65,65.8,33.1,67.3,18.8,29.6,27.3,23,29.2,32.1,30,33.7,30,38.6,26.8,39.3,47.4,50.8,29.3,40.4,21.6,48.9,78.9,14.5,12.5,29.1,,39.2,1353.8,38.9,20.2,25.7,30.5,15.6,68.9,29.2,30.9,11.8,,,,
197007,32.5,32.7,33.1,33.5,32.2,31.7,28.8,32.6,35.3,26.3,28.1,40.6,48.2,23.1,23,41.3,40.4,47.7,30.3,27.6,52.5,43.3,25.1,26.4,24.9,28.2,30.1,20.6,34.8,67.7,27.8,19,,69.8,163.3,65,66.3,33.3,67.3,18.8,30.1,28.3,23.5,30.4,32.2,29.9,33.7,30.1,38.6,26.9,39.5,47.5,51.4,29.7,40.5,21.6,49,78.9,14.5,12.5,29.1,,39.1,1350.9,38.7,20,25.8,30.7,15.9,69,29.3,30.9,11.8,,,,
197008,32.4,32.7,33,33.5,32.2,31.6,27.2,32.9,35.4,26.9,29.2,40.7,47.9,22.9,22.7,33.9,32.9,48.1,30.5,27.9,52.6,43.3,25.3,26.5,25.1,28.4,30.4,20.6,34.8,67.7,27.8,19,,70.1,163.6,65,66.9,33.4,67.4,18.8,29.3,26.4,23.6,27.5,32.5,30.4,33.9,30.2,38.8,27.1,39.4,47.5,52.1,29.5,40.5,21.6,49,78.9,14.5,12.5,29.1,,39.4,1358.3,39.2,20.1,25.8,30.8,15.9,69.2,29.5,30.9,11.8,,,,
197009,32.9,33.1,33.6,33.8,32.5,32.3,29.9,33.1,35.7,27.3,29.9,40.7,49.6,24.9,25.8,38.8,38,48.9,30.7,27.9,53,43.6,25.4,26.7,25.3,28.6,30.5,20.9,35,67.7,27.9,19.3,,71.4,169.1,65.6,67.9,33.7,67.7,19,30.7,28.6,25.2,30.2,33.9,32.7,34.5,30.5,39.3,27.4,39.4,47.7,52.6,29.5,40.5,21.6,49.1,78.9,14.5,12.5,29.1,,39.6,1350.9,39.1,20,26.2,30.8,16,69.3,29.6,30.9,11.8,,,,
197010,33.4,33.4,34.1,34.2,32.9,33.3,32.1,33.6,35.8,27.4,29.8,40.9,52.8,29,32.3,37.8,36.9,49.7,31,27.6,53.2,45.6,25.8,26.9,25.5,28.7,30.8,21.1,35.1,67.7,28,20.1,,71.3,167.1,66.1,68.5,34.1,68.1,19.1,31.4,29.5,25.6,31.2,34.5,32.8,35.3,30.7,39.8,27.7,39.5,48,53.2,29.5,41.1,22.4,49.4,79,14.5,12.5,29.1,,39.7,1355.3,39.8,20,26.2,30.9,16.3,69.6,29.7,30.9,11.8,,,,
197011,33.4,33.6,34.1,34.4,33.1,33.1,30.4,33.9,35.9,28.2,30.9,40.9,53,27.1,28.8,34.6,33.7,49.8,31.4,28.1,53.3,46.3,26.2,27,25.6,28.8,30.9,21.3,35.4,67.7,28,20.7,,71.6,166.8,66.5,68.3,34.3,69.2,19.2,31.6,29.7,25.6,31.5,34.7,33.1,35.6,30.8,40,28.1,39.6,48.4,53.8,29.5,41.2,22.4,49.4,79,14.5,12.5,29.1,,40.1,1364.2,40.1,21,26.2,31.1,16.6,69.6,29.7,30.9,11.8,,,,
